region,city,url,disposition,local_evidence_status
"murrieta","Beaumont","https://rangeljanitorial.com/locations/murrieta/beaumont","Retain pending local content review","Needs verified local projects or distinct service details"
"murrieta","Eastvale","https://rangeljanitorial.com/locations/murrieta/eastvale","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Walnut Creek","https://rangeljanitorial.com/locations/walnut-creek/walnut-creek","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Concord","https://rangeljanitorial.com/locations/walnut-creek/concord","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Pleasant Hill","https://rangeljanitorial.com/locations/walnut-creek/pleasant-hill","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Lafayette","https://rangeljanitorial.com/locations/walnut-creek/lafayette","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Danville","https://rangeljanitorial.com/locations/walnut-creek/danville","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Martinez","https://rangeljanitorial.com/locations/walnut-creek/martinez","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","San Ramon","https://rangeljanitorial.com/locations/walnut-creek/san-ramon","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Dublin","https://rangeljanitorial.com/locations/walnut-creek/dublin","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Livermore","https://rangeljanitorial.com/locations/walnut-creek/livermore","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Pleasanton","https://rangeljanitorial.com/locations/walnut-creek/pleasanton","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Orinda","https://rangeljanitorial.com/locations/walnut-creek/orinda","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Moraga","https://rangeljanitorial.com/locations/walnut-creek/moraga","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Alamo","https://rangeljanitorial.com/locations/walnut-creek/alamo","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Clayton","https://rangeljanitorial.com/locations/walnut-creek/clayton","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Antioch","https://rangeljanitorial.com/locations/walnut-creek/antioch","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Brentwood","https://rangeljanitorial.com/locations/walnut-creek/brentwood","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Oakley","https://rangeljanitorial.com/locations/walnut-creek/oakley","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Pittsburg","https://rangeljanitorial.com/locations/walnut-creek/pittsburg","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","Bay Point","https://rangeljanitorial.com/locations/walnut-creek/bay-point","Retain pending local content review","Needs verified local projects or distinct service details"
"walnut-creek","El Cerrito","https://rangeljanitorial.com/locations/walnut-creek/el-cerrito","Retain pending local content review","Needs verified local projects or distinct service details"
